packet_length_max,iat_min,label
41.993052971095395,2.3636035729010634,benign
74.54686722460981,1.0667616588447573,benign
63.54924709948162,45.55918806248376,benign
61.597051597051596,116.14170754878468,benign
66.21467647613659,1.5837195310578858,benign
52.866329002422376,19.906659750233814,benign
56.87750689629465,1.955209439529417,benign
91.39748496446144,1.3691891435936367,benign
62.03936130709246,62.92171133299366,benign
42.0,59.18130341027098,benign
470.32911853298464,2.9253741053443127e-05,ddos
826.2339362208471,6.710217715104041e-06,ddos
75.54085831863611,4.812264868941671e-05,ddos
1419.1465271170307,1.3382594395621398e-05,ddos
371.730731678452,4.152469499008192e-05,ddos
658.1608234448039,1.2771339992617837e-05,ddos
535.9244325333982,2.2330169687028312e-05,ddos
422.2001284191602,4.627228518023254e-05,ddos
302.1497925568147,3.1756043722034604e-05,ddos
1061.3937405350832,3.745494497839337e-06,ddos
