packet_length_max,iat_min,label
76.41674212697453,1.118751077909131,benign
59.746796710652134,56.555668485645676,benign
54.27569909413153,20.40566770093278,benign
61.615933412604036,115.24596722727014,benign
41.99311701081613,2.4799560287357427,benign
57.87421841801736,1.8511833199196692,benign
66.68800477561626,1.4904322198823863,benign
402.82695344090564,4.570750978641355e-05,ddos
1406.639714625446,1.2395687156190316e-05,ddos
654.2518412924686,1.2944673070094173e-05,ddos
75.4553778268064,4.853552635768862e-05,ddos
494.5520879580056,2.6880883793206706e-05,ddos
947.228239845261,4.711879752360184e-06,ddos
312.4211123723042,2.9091396613234608e-05,ddos
